,champion,games,prescence,bans,picks,byteam,wins,losses,winrate,kills,deaths,assists,kda,cs,cspm,gold,gpm,killpart,killshare,goldshare
27,Jhin,18,0.24,-,18,6,12,6,66.7,4.17,1.33,6.06,7.67,335.17,9.45,15.3,432.0,0.6809999999999999,0.278,0.23600000000000002
28,Nidalee,18,0.24,4,14,7,8,6,57.1,2.71,1.79,4.64,4.12,220.86,6.38,12.2,354.0,0.602,0.222,0.192
29,Skarner,18,0.24,12,6,4,3,3,50,1.67,2.33,6.33,3.43,160.0,4.67,10.3,301.0,0.649,0.135,0.171
30,Samira,17,0.22699999999999998,7,10,5,4,6,40,5.1,2.9,4.9,3.45,244.6,8.12,12.6,420.0,0.667,0.34,0.237
31,Ryze,16,0.213,6,10,6,7,3,70,3.8,2.7,4.7,3.15,325.9,9.87,15,454.0,0.594,0.266,0.24100000000000002
32,Rakan,16,0.213,7,9,5,5,4,55.6,0.78,3.44,11.22,3.48,39.22,1.19,7.8,236.0,0.7709999999999999,0.05,0.129
33,Tristana,15,0.2,8,7,7,1,6,14.3,3.0,4.0,3.57,1.64,269.14,8.51,12.8,405.0,0.742,0.33899999999999997,0.24
34,Gangplank,15,0.2,11,4,3,3,1,75,2.0,2.0,5.75,3.88,324.75,8.9,15.9,435.0,0.62,0.16,0.239
35,Sion,14,0.187,2,12,8,4,8,33.3,1.42,3.17,6.17,2.39,223.25,6.83,10.8,330.0,0.599,0.11199999999999999,0.191
36,Aphelios,13,0.17300000000000001,3,10,8,4,6,40,3.0,2.0,3.9,3.45,333.4,9.63,14.6,421.0,0.6629999999999999,0.28800000000000003,0.251
37,Nautilus,13,0.17300000000000001,5,8,4,4,4,50,1.0,3.75,6.63,2.03,37.13,1.04,8.2,229.0,0.61,0.08,0.127
38,Jayce,12,0.16,7,5,4,3,2,60,3.0,1.4,6,6.43,329.4,9.1,15.5,428.0,0.625,0.20800000000000002,0.22699999999999998
39,Caitlyn,12,0.16,7,5,3,1,4,20,3.6,2.0,3.8,3.7,311.4,9.45,14,425.0,0.6729999999999999,0.327,0.248
40,Jarvan IV,11,0.147,1,10,7,6,4,60,1.2,4.0,9.9,2.78,120.3,3.65,9.7,295.0,0.828,0.09,0.163
41,Viktor,11,0.147,2,9,6,3,6,33.3,2.0,3.33,5.22,2.17,300.67,9.05,12.9,387.0,0.591,0.16399999999999998,0.22399999999999998
42,Galio,10,0.133,3,7,4,2,5,28.6,1.14,4.0,7,2.04,60.0,1.97,7.3,238.0,0.76,0.107,0.138
43,Miss Fortune,9,0.12,5,4,3,0,4,0,3.25,2.0,2.25,2.75,318.25,9.19,13.8,398.0,0.688,0.406,0.24100000000000002
44,Tahm Kench,8,0.107,2,6,6,4,2,66.7,0.67,2.67,9,3.63,173.0,5.09,10,293.0,0.7340000000000001,0.051,0.16399999999999998
45,Sett,8,0.107,3,5,5,3,2,60,0.6,3.8,4.8,1.42,118.0,3.78,8.9,284.0,0.48200000000000004,0.054000000000000006,0.157
46,Vayne,8,0.107,3,5,4,3,2,60,5.4,2.2,4.4,4.45,330.4,8.99,16,436.0,0.583,0.321,0.237
47,Volibear,8,0.107,3,5,2,3,2,60,3.2,3.4,5.8,2.65,223.0,7.33,11.3,370.0,0.556,0.198,0.203
