,champion,games,prescence,bans,picks,byteam,wins,losses,winrate,kills,deaths,assists,kda,cs,cspm,gold,gpm,killpart,killshare,goldshare
66,Kennen,2,0.034,-,2,1,0,2,0,1.5,2.5,2,1.4,274.5,8.06,12.4,365.0,0.778,0.33299999999999996,0.225
67,Ornn,2,0.034,-,2,1,0,2,0,0.5,2.5,4,1.8,241.5,6.28,11.7,305.0,0.75,0.083,0.19
68,Malphite,2,0.034,1,1,1,1,0,100,3.0,0.0,10,13,207.0,6.6,11.5,367.0,0.684,0.158,0.195
69,Varus,2,0.034,1,1,1,1,0,100,3.0,3.0,9,4,284.0,6.31,15.4,343.0,0.75,0.188,0.204
70,Draven,2,0.034,1,1,1,0,1,0,1.0,3.0,4,1.67,230.0,7.67,10.6,352.0,0.625,0.125,0.22699999999999998
71,Cho'Gath,1,0.017,-,1,1,1,0,100,6.0,0.0,3,9,234.0,8.22,12.5,440.0,0.45,0.3,0.217
72,Neeko,1,0.017,-,1,1,1,0,100,0.0,5.0,5,1,29.0,0.64,9.8,218.0,0.313,0.0,0.13
73,Rumble,1,0.017,-,1,1,1,0,100,3.0,1.0,7,10,179.0,5.99,10,335.0,0.625,0.188,0.175
74,Yasuo,1,0.017,-,1,1,1,0,100,3.0,2.0,12,7.5,305.0,9.72,13.6,433.0,0.789,0.158,0.23
75,Ivern,1,0.017,-,1,1,0,1,0,0.0,1.0,10,10,269.0,5.6,13.9,289.0,0.667,0.0,0.168
76,Maokai,1,0.017,-,1,1,0,1,0,0.0,3.0,2,0.67,48.0,1.55,6.6,212.0,0.25,0.0,0.125
77,Quinn,1,0.017,-,1,1,0,1,0,4.0,1.0,5,9,231.0,7.61,11.6,382.0,0.9,0.4,0.22899999999999998
78,Rengar,1,0.017,-,1,1,0,1,0,0.0,4.0,2,0.5,156.0,5.13,8.1,267.0,0.5,0.0,0.184
79,Ziggs,1,0.017,-,1,1,0,1,0,1.0,1.0,2,3,301.0,9.4,11.7,366.0,0.429,0.14300000000000002,0.23
80,Cassiopeia,1,0.017,1,-,-,0,0,,,,,,,,,,,,
81,Malzahar,1,0.017,1,-,-,0,0,,,,,,,,,,,,
