,champion,games,prescence,bans,picks,byteam,wins,losses,winrate,kills,deaths,assists,kda,cs,cspm,gold,gpm,killpart,killshare,goldshare
20,Lucian,26,0.371,18,8,7,5,3,62.5,3.88,2.5,4.88,3.5,285.0,9.17,13.2,424.0,0.631,0.27899999999999997,0.23199999999999998
21,Leona,25,0.35700000000000004,8,17,8,10,7,58.8,0.47,3.12,9.35,3.15,41.29,1.29,7.4,232.0,0.684,0.033,0.13
22,Hecarim,24,0.34299999999999997,7,17,10,6,11,35.3,2.47,3.47,5.41,2.27,174.47,5.41,10.3,318.0,0.6629999999999999,0.20800000000000002,0.188
23,Twisted Fate,24,0.34299999999999997,15,9,7,6,3,66.7,2.78,0.89,7.89,12,227.11,7.93,11.9,415.0,0.733,0.191,0.22699999999999998
24,Yone,24,0.34299999999999997,16,8,6,4,4,50,3.38,2.25,5.25,3.83,269.25,8.83,12.9,424.0,0.6629999999999999,0.26,0.23600000000000002
25,Alistar,23,0.32899999999999996,7,16,8,9,7,56.3,0.75,3.38,10.38,3.3,31.63,1.01,7.2,232.0,0.73,0.049,0.13
26,Galio,22,0.314,11,11,10,7,4,63.6,2.73,1.82,7.18,5.45,176.91,5.76,10.5,341.0,0.7959999999999999,0.21899999999999997,0.19
27,Senna,22,0.314,12,10,8,4,6,40,3.0,2.7,8.8,4.37,105.0,3.14,11,329.0,0.8140000000000001,0.207,0.18899999999999997
28,Volibear,21,0.3,11,10,7,4,6,40,2.9,3.4,5.5,2.47,206.7,6.4,11,341.0,0.627,0.21600000000000003,0.19899999999999998
29,Miss Fortune,20,0.28600000000000003,3,17,8,9,8,52.9,5.18,2.0,4.76,4.97,276.76,8.74,13.5,427.0,0.779,0.406,0.244
30,Xayah,20,0.28600000000000003,5,15,7,7,8,46.7,3.6,2.4,4.93,3.56,297.93,9.28,13.8,429.0,0.6459999999999999,0.273,0.244
31,Graves,19,0.271,8,11,4,6,5,54.5,3.73,1.45,5.55,6.38,233.91,7.29,12.4,387.0,0.685,0.275,0.214
32,Samira,19,0.271,11,8,5,4,4,50,4.25,2.63,2.5,2.57,288.63,8.43,13.9,405.0,0.643,0.405,0.23800000000000002
33,Sion,17,0.243,7,10,5,4,6,40,1.6,2.8,5.8,2.64,216.9,6.48,10.9,326.0,0.612,0.132,0.192
34,Kalista,16,0.22899999999999998,10,6,4,5,1,83.3,5.83,2.33,6.5,5.29,234.83,8.56,12.4,450.0,0.6920000000000001,0.327,0.23199999999999998
35,Ornn,15,0.214,6,9,5,5,4,55.6,2.0,2.56,6.44,3.3,222.11,7.07,10.8,343.0,0.5760000000000001,0.136,0.195
36,Viktor,15,0.214,9,6,3,5,1,83.3,4.83,1.83,8.17,7.09,263.5,8.59,12.9,421.0,0.7879999999999999,0.293,0.22899999999999998
37,Gangplank,15,0.214,11,4,3,2,2,50,2.5,2.5,6.75,3.7,255.75,8.11,12.9,410.0,0.685,0.185,0.23399999999999999
