,champion,games,prescence,bans,picks,byteam,wins,losses,winrate,kills,deaths,assists,kda,cs,cspm,gold,gpm,killpart,killshare,goldshare
68,Lee Sin,1,0.013000000000000001,-,1,1,1,0,100,2.0,4.0,11,3.25,157.0,5.44,9.7,334.0,0.722,0.111,0.179
69,Pyke,1,0.013000000000000001,-,1,1,1,0,100,8.0,0.0,7,15,37.0,1.64,9.7,432.0,0.455,0.242,0.188
70,Ashe,1,0.013000000000000001,-,1,1,0,1,0,3.0,4.0,8,2.75,308.0,9.33,13.4,405.0,0.917,0.25,0.249
71,Blitzcrank,1,0.013000000000000001,-,1,1,0,1,0,0.0,1.0,6,6,31.0,0.97,6.8,213.0,0.75,0.0,0.13
72,Darius,1,0.013000000000000001,-,1,1,0,1,0,1.0,4.0,2,0.75,221.0,7.22,9.8,319.0,0.6,0.2,0.19699999999999998
73,Ezreal,1,0.013000000000000001,-,1,1,0,1,0,1.0,3.0,2,1,272.0,8.9,11.8,388.0,0.5,0.16699999999999998,0.244
74,Fiora,1,0.013000000000000001,-,1,1,0,1,0,0.0,4.0,2,0.5,235.0,9.24,8.8,344.0,0.25,0.0,0.21
75,Karma,1,0.013000000000000001,-,1,1,0,1,0,1.0,3.0,5,2,214.0,7.01,9.2,302.0,0.462,0.077,0.179
76,Quinn,1,0.013000000000000001,-,1,1,0,1,0,1.0,2.0,1,1,149.0,7.11,6.5,311.0,0.33299999999999996,0.16699999999999998,0.212
77,Urgot,1,0.013000000000000001,-,1,1,0,1,0,2.0,7.0,5,1,55.0,1.86,7.3,248.0,0.875,0.25,0.154
78,Bard,1,0.013000000000000001,1,-,-,0,0,,,,,,,,,,,,
79,Draven,1,0.013000000000000001,1,-,-,0,0,,,,,,,,,,,,
80,Kindred,1,0.013000000000000001,1,-,-,0,0,,,,,,,,,,,,
81,Maokai,1,0.013000000000000001,1,-,-,0,0,,,,,,,,,,,,
82,Tahm Kench,1,0.013000000000000001,1,-,-,0,0,,,,,,,,,,,,
