,champion,games,prescence,bans,picks,byteam,wins,losses,winrate,kills,deaths,assists,kda,cs,cspm,gold,gpm,killpart,killshare,goldshare
57,Jarvan IV,4,0.05,1,3,3,1,2,33.3,1.67,4.33,5,1.54,155.0,4.98,9,290.0,0.7140000000000001,0.179,0.172
58,Kennen,4,0.05,2,2,1,2,0,100,5.0,3.5,6,3.14,216.5,6.9,13.2,422.0,0.629,0.28600000000000003,0.22399999999999998
59,Kindred,3,0.038,-,3,3,1,2,33.3,2.67,4.67,5.33,1.71,256.0,6.86,13.7,368.0,0.667,0.222,0.21
60,Elise,3,0.038,1,2,2,1,1,50,4.5,3.0,4.5,3,162.0,5.66,10.2,356.0,0.7829999999999999,0.391,0.203
61,Kalista,3,0.038,1,2,2,0,2,0,1.5,4.0,5,1.63,224.0,8.04,9.9,356.0,0.591,0.136,0.213
62,Draven,3,0.038,2,1,1,1,0,100,1.0,2.0,9,5,251.0,7.68,13.2,405.0,0.556,0.055999999999999994,0.20600000000000002
63,Lee Sin,3,0.038,2,1,1,1,0,100,6.0,3.0,8,4.67,188.0,5.97,12.4,394.0,0.875,0.375,0.212
64,Urgot,3,0.038,2,1,1,1,0,100,7.0,2.0,11,9,245.0,6.68,14.9,408.0,0.7829999999999999,0.304,0.217
65,Jinx,2,0.025,-,2,2,2,0,100,6.5,2.5,7,5.4,301.5,9.45,15.5,486.0,0.7709999999999999,0.371,0.255
66,Braum,2,0.025,-,2,2,1,1,50,0.5,5.0,9,1.9,41.0,1.37,7.1,237.0,0.655,0.034,0.133
67,Quinn,2,0.025,-,2,2,1,1,50,4.5,3.5,1.5,1.71,180.5,6.92,10.1,389.0,0.522,0.391,0.222
68,Fiora,2,0.025,-,2,2,0,2,0,1.0,2.5,1,0.8,313.0,9.79,13.2,412.0,0.364,0.182,0.245
69,Vladimir,2,0.025,-,2,1,0,2,0,2.5,2.5,1,1.4,267.0,8.65,11.1,361.0,0.5,0.35700000000000004,0.233
70,Ivern,2,0.025,1,1,1,1,0,100,1.0,2.0,9,5,157.0,5.67,9,327.0,0.833,0.083,0.179
71,Janna,2,0.025,1,1,1,1,0,100,1.0,0.0,12,13,28.0,1.28,6.7,304.0,0.65,0.05,0.14
72,Kassadin,2,0.025,1,1,1,1,0,100,6.0,2.0,7,6.5,465.0,9.98,22,472.0,0.722,0.33299999999999996,0.25
73,Vayne,2,0.025,1,1,1,1,0,100,0.0,3.0,8,2.67,215.0,8.62,9.8,391.0,0.42100000000000004,0.0,0.18899999999999997
74,Caitlyn,2,0.025,1,1,1,0,1,0,5.0,4.0,0,1.25,257.0,7.91,13.5,415.0,0.833,0.833,0.272
75,Maokai,2,0.025,1,1,1,0,1,0,2.0,4.0,7,2.25,183.0,4.47,11.2,273.0,0.818,0.182,0.16399999999999998
76,Sejuani,2,0.025,1,1,1,0,1,0,1.0,2.0,2,1.5,163.0,5.72,8.7,304.0,1.0,0.33299999999999996,0.183
77,Anivia,1,0.013000000000000001,-,1,1,1,0,100,6.0,1.0,12,18,229.0,6.99,13.4,408.0,0.857,0.28600000000000003,0.21600000000000003
78,Cho'Gath,1,0.013000000000000001,-,1,1,1,0,100,2.0,3.0,8,3.33,246.0,7.53,13.1,400.0,0.556,0.111,0.204
79,Jax,1,0.013000000000000001,-,1,1,1,0,100,4.0,3.0,5,3,233.0,7.62,12.2,400.0,0.45,0.2,0.203
80,Kayn,1,0.013000000000000001,-,1,1,1,0,100,5.0,2.0,5,5,237.0,8.49,11.7,419.0,0.5,0.25,0.204
81,Mordekaiser,1,0.013000000000000001,-,1,1,1,0,100,4.0,2.0,0,2,200.0,7.22,10.4,377.0,0.33299999999999996,0.33299999999999996,0.20600000000000002
82,Shyvana,1,0.013000000000000001,-,1,1,1,0,100,0.0,1.0,5,5,204.0,7.15,10,352.0,0.455,0.0,0.18899999999999997
83,Ahri,1,0.013000000000000001,-,1,1,0,1,0,0.0,3.0,6,2,233.0,7.55,10,324.0,0.75,0.0,0.215
84,Ashe,1,0.013000000000000001,-,1,1,0,1,0,1.0,5.0,1,0.4,222.0,8.47,9,343.0,0.4,0.2,0.21899999999999997
85,Bard,1,0.013000000000000001,-,1,1,0,1,0,1.0,2.0,6,3.5,39.0,1.21,7.1,219.0,0.636,0.091,0.13
86,Blitzcrank,1,0.013000000000000001,-,1,1,0,1,0,1.0,9.0,5,0.67,28.0,0.91,6.5,211.0,0.375,0.063,0.11900000000000001
87,Corki,1,0.013000000000000001,-,1,1,0,1,0,1.0,2.0,4,2.5,222.0,8.95,8.8,357.0,0.833,0.16699999999999998,0.22899999999999998
88,Riven,1,0.013000000000000001,-,1,1,0,1,0,0.0,6.0,0,0,247.0,6.74,10.9,297.0,0.0,0.0,0.18100000000000002
89,Varus,1,0.013000000000000001,-,1,1,0,1,0,1.0,0.0,6,7,318.0,9.2,13.2,382.0,0.7,0.1,0.225
90,Vel'Koz,1,0.013000000000000001,-,1,1,0,1,0,6.0,2.0,1,3.5,311.0,9.76,13.6,427.0,0.778,0.667,0.267
91,Lux,1,0.013000000000000001,1,-,-,0,0,,,,,,,,,,,,
92,Yorick,1,0.013000000000000001,1,-,-,0,0,,,,,,,,,,,,
